Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:8.89,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.90,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.91,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.92,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.93,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.94,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.95,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.96,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.97,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.98,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.99,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.100,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.103,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.104,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.105,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.106,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.107,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.108,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.109,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.110,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.111,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.121,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.122,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.123,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.124,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.125,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.126,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.127,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.128,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.129,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.130,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.131,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.145,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.146,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.147,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.148,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.149,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.150,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.152,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.153,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.154,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.155,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.156,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.157,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.158,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.159,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.160,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.171,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.172,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.173,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.174,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.175,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.176,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.177,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.178,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.179,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.180,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.181,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.188,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.189,"",
