FootnoteURN,Scholion,TextURN,Image,Number,Folio,Sequence
,urn:cts:greekLit:tlg5026.e3.hmt:8.263,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.3737,0.3931,0.0094,0.0189",,urn:cite:hmt:e3.105v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.264,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.2869,0.4582,0.0117,0.0197",,urn:cite:hmt:e3.105v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.276,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.6266,0.2782,0.01,0.0201",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.277,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.5706,0.3815,0.0149,0.0184",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.278,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.6629,0.5041,0.01,0.021",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.281,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.5586,0.5178,0.0134,0.0193",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.283,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.61,0.5354,0.014,0.0193",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.285,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.5477,0.5675,0.0117,0.0201",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.286,,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.548,0.6009,0.0157,0.0189",,urn:cite:hmt:e3.106r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.301,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.46,0.2387,0.0114,0.018",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.302,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.35,0.3455,0.0114,0.018",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.303,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.3589,0.3849,0.0114,0.018",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.304,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.3374,0.4003,0.0123,0.0206",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.305,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.3586,0.4166,0.012,0.021",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.306,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.4034,0.4351,0.0123,0.0189",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.307,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.3891,0.4715,0.0123,0.0189",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.308,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.3403,0.4869,0.0123,0.0189",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.309,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.3594,0.5572,0.0123,0.0189",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.310,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.4111,0.5915,0.0123,0.0189",,urn:cite:hmt:e3.106v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.319,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6326,0.2456,0.0157,0.0206",,urn:cite:hmt:e3.107r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.321,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.7406,0.264,0.0131,0.0189",,urn:cite:hmt:e3.107r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.323,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6374,0.3356,0.0123,0.0159",,urn:cite:hmt:e3.107r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.326,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.612,0.3673,0.0174,0.0189",,urn:cite:hmt:e3.107r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.329,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6083,0.4016,0.0117,0.0159",,urn:cite:hmt:e3.107r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.331,,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.5809,0.6155,0.0117,0.0189",,urn:cite:hmt:e3.107r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.343,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.2763,0.3639,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.344,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.382,0.3789,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.345,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3197,0.4483,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.347,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3283,0.4814,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.349,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3669,0.5667,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.351,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3286,0.5851,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.353,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.2834,0.6005,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.354,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3506,0.6172,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.355,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3829,0.6635,0.0114,0.0184",,urn:cite:hmt:e3.107v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.367,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6223,0.3168,0.0089,0.0167",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.368,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6131,0.3339,0.0123,0.0189",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.369,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.5786,0.3982,0.0123,0.0189",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.371,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6749,0.4839,0.0123,0.0189",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.373,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.5983,0.5169,0.0123,0.0189",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.375,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.5474,0.5825,0.0123,0.0189",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.376,,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6509,0.6515,0.0123,0.0189",,urn:cite:hmt:e3.108r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.384,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2531,0.2838,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.385,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.266,0.3009,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.387,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.27,0.3528,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.388,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.3377,0.3703,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.390,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.264,0.4192,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.393,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2474,0.5024,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.394,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2446,0.5842,0.014,0.0184",,urn:cite:hmt:e3.108v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.406,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.5189,0.2049,0.0106,0.0201",,urn:cite:hmt:e3.109r
,urn:cts:greekLit:tlg5026.e3.hmt:8.407,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.6554,0.255,0.0111,0.0184",,urn:cite:hmt:e3.109r
,urn:cts:greekLit:tlg5026.e3.hmt:8.409,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.6186,0.4089,0.0111,0.0206",,urn:cite:hmt:e3.109r
,urn:cts:greekLit:tlg5026.e3.hmt:8.412,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.5194,0.4912,0.0134,0.0184",,urn:cite:hmt:e3.109r
,urn:cts:greekLit:tlg5026.e3.hmt:8.415,,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.5457,0.5439,0.0134,0.0184",,urn:cite:hmt:e3.109r
