ConnectorURN,ScholionURN,ScholiaImageURN,TextURN,TextImageURN
1,urn:cts:greekLit:tlg5026.msAint.hmt:8.144,"urn:cite:hmt:vaimg.VA104RN-0276@0.126,0.6724,0.019,0.009",urn:cts:greekLit:tlg0012.tlg001.msA:8.191@λάβωμεν,"urn:cite:hmt:vaimg.VA104RN-0276@0.545,0.6732,0.02,0.0105"
2,urn:cts:greekLit:tlg5026.msAim:hmt:8.216,"urn:cite:hmt:vaimg.VA106VN-0609@0.393,0.5387,0.034,0.0135",urn:cts:greekLit:tlg0012.tlg001.msA:8.313@ϊέμενον,"urn:cite:hmt:vaimg.VA106VN-0609@0.489,0.5304,0.028,0.0135"
